genre,popularity,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence
Folk,45.0,0.463,0.561,219480.0,0.698,0.102,-5.669,0.0468,171.845,0.68
Folk,47.0,0.0655,0.726,335667.0,0.59,0.0378,-10.099,0.0377,127.581,0.56
Folk,46.0,0.81,0.39,301720.0,0.542,0.0634,-8.384,0.0323,154.023,0.281
Folk,52.0,0.364,0.585,246973.0,0.653,0.133,-6.473,0.0377,136.937,0.284
Folk,47.0,0.0441,0.596,176689.0,0.604,0.108,-6.367,0.0623,81.016,0.433
Folk,52.0,0.18,0.579,133907.0,0.662,0.244,-4.321,0.0351,78.732,0.921
Opera,2.0,0.896,0.259,746600.0,0.198,0.689,-19.621,0.0658,158.284,0.159
Opera,7.0,0.949,0.311,390907.0,0.183,0.0836,-17.364,0.0671,78.633,0.363
Opera,3.0,0.982,0.463,140160.0,0.331,0.178,-21.165,0.0466,66.793,0.27
Opera,35.0,0.973,0.232,311333.0,0.217,0.0862,-13.979,0.0409,132.168,0.096
Opera,32.0,0.973,0.296,189760.0,0.0627,0.757,-20.764,0.0994,175.841,0.067
Opera,33.0,0.708,0.317,349467.0,0.326,0.0671,-10.259,0.0442,76.365,0.177
Opera,20.0,0.636,0.0923,342389.0,0.0833,0.112,-24.336,0.0465,86.848,0.0367
Opera,29.0,0.981,0.27,228027.0,0.294,0.0997,-11.85,0.0419,92.894,0.284
Opera,27.0,0.983,0.225,178733.0,0.218,0.234,-18.864,0.0443,112.527,0.0908
Opera,23.0,0.963,0.352,153393.0,0.512,0.327,-8.302,0.0407,136.54,0.537
Opera,33.0,0.825,0.298,201933.0,0.468,0.897,-10.517,0.0433,98.987,0.209
Opera,15.0,0.97,0.295,156253.0,0.214,0.155,-13.34,0.0374,61.073,0.0665
Opera,18.0,0.912,0.486,291840.0,0.0674,0.425,-20.319,0.0422,84.029,0.465
Opera,21.0,0.74,0.419,206240.0,0.301,0.117,-18.305,0.043,122.599,0.513
Opera,27.0,0.95,0.146,218781.0,0.109,0.107,-16.406,0.0428,73.146,0.0354
Opera,21.0,0.948,0.331,166560.0,0.0646,0.193,-19.851,0.0377,116.627,0.12
Opera,17.0,0.93,0.141,364707.0,0.142,0.335,-20.642,0.0485,79.525,0.0728
Folk,45.0,0.174,0.453,242147.0,0.717,0.12,-7.724,0.0754,111.019,0.393
Folk,51.0,0.213,0.62,271107.0,0.598,0.108,-10.396,0.0304,122.964,0.343
Folk,43.0,0.828,0.287,252680.0,0.235,0.723,-10.284,0.04,61.682,0.15
Folk,54.0,0.901,0.648,171413.0,0.694,0.125,-9.707,0.0457,78.265,0.962
Folk,49.0,0.165,0.796,188528.0,0.566,0.0802,-8.484,0.0574,130.776,0.715
Folk,43.0,0.0246,0.529,170293.0,0.66,0.206,-8.494,0.0302,132.246,0.647
Folk,50.0,9.44e-05,0.523,188973.0,0.986,0.0772,-2.865,0.0632,94.348,0.725
Folk,57.0,0.146,0.751,186621.0,0.635,0.131,-6.292,0.0743,159.898,0.806
Folk,53.0,0.89,0.622,211000.0,0.406,0.123,-10.965,0.388,160.02,0.194
Folk,43.0,0.414,0.589,288520.0,0.487,0.223,-6.904,0.0294,125.92,0.668
Folk,44.0,0.591,0.444,211120.0,0.376,0.0884,-13.598,0.0687,92.019,0.0798
Folk,49.0,0.637,0.747,332213.0,0.447,0.0717,-7.304,0.0412,124.588,0.597
Folk,42.0,0.0022,0.392,212480.0,0.579,0.0827,-10.052,0.0445,93.243,0.449
