property_type,property_bedrooms,property_rooms,property_surface_total,property_surface_covered,latitud,longitud,tipo_precio
Departamento,3.0,4.0,180.0,180.0,-34.5913322,-58.408419,medio
Departamento,1.0,1.0,26.0,26.0,-34.6020558214,-58.431396027,medio
Departamento,2.0,3.0,77.0,77.0,-34.587888,-58.45229,medio
Departamento,2.0,3.0,57.0,51.0,-34.6168016,-58.4480741,medio
PH,3.0,5.0,173.0,153.0,-34.5872755,-58.513193,medio
Departamento,2.0,3.0,72.0,72.0,-34.636554,-58.357137,bajo
Departamento,2.0,3.0,51.0,51.0,-34.6274873239,-58.4655475616,bajo
Departamento,1.0,1.0,34.0,30.0,-34.5904547,-58.4793355,medio
Departamento,2.0,3.0,110.0,102.0,-34.594457,-58.397658,medio
Departamento,1.0,1.0,90.0,82.0,-34.6395968,-58.3690963,medio
Departamento,1.0,2.0,48.0,43.0,-34.6113103,-58.4539011,medio
Departamento,1.0,2.0,50.0,45.0,-34.583688,-58.469951,bajo
Departamento,2.0,3.0,55.0,50.0,-34.55847376,-58.4516644478,medio
PH,2.0,3.0,55.0,48.0,-34.6368797,-58.4371432,alto
Departamento,2.0,3.0,66.0,59.0,-34.6078972,-58.4860977,medio
Departamento,2.0,3.0,71.0,66.0,-34.5727985,-58.4848347,medio
Departamento,3.0,4.0,112.3345636384868,90.0,-34.590508,-58.4129322,medio
Departamento,2.0,3.0,57.0,56.0,-34.6265943,-58.4257349,medio
Departamento,2.0,3.0,89.0,77.0,-34.5545188,-58.4915986,medio
Departamento,1.0,1.0,38.0,36.0,-34.578703,-58.4646661,medio
Departamento,2.0,3.0,86.46135675612186,60.0,-34.5777628,-58.4598981,bajo
Departamento,3.0,4.0,119.0,109.0,-34.5916392,-58.3981054,medio
Departamento,1.0,1.0,58.42923697991145,58.42923697991145,-34.6217565,-58.4444367,bajo
PH,2.0,3.0,99.0,96.0,-34.629071,-58.4012796,medio
Departamento,1.0,1.0,33.0,30.0,-34.5681777,-58.433797,alto
Departamento,1.0,2.0,42.0,38.0,-34.5774,-58.4333,medio
Departamento,1.0,1.0,37.0,35.0,-34.5930227,-58.4030223,alto
Departamento,1.0,2.0,36.0,33.0,-34.6110566,-58.3946774,bajo
Departamento,3.0,4.0,113.0,105.0,-34.6224422,-58.4599421,medio
Departamento,3.0,4.0,113.0,103.0,-34.6197145,-58.4330011,medio
PH,2.0,3.0,69.21255216787857,40.0,-34.6237933,-58.4022563,bajo
Departamento,2.0,3.0,60.0,58.0,-34.6242839,-58.401358,medio
Departamento,2.0,3.0,64.0,55.0,-34.6210638,-58.4893052,bajo
PH,1.0,2.0,55.0,40.0,-34.61023712,-58.48907471,medio
Departamento,1.0,2.0,56.0,49.0,-34.5441114,-58.4630978,alto
Departamento,2.0,3.0,69.0,69.0,-34.5564114,-58.4588623,medio
Departamento,1.0,1.0,24.0,24.0,-34.6011398,-58.4239636,medio
Departamento,2.0,3.0,69.0,62.0,-34.6525933,-58.4921706,bajo
Departamento,1.0,1.0,25.0,25.0,-34.5989244,-58.3760355,medio
Departamento,1.0,1.0,24.0,19.0,-34.5760225,-58.4483554,alto
Departamento,1.0,2.0,60.0,55.0,-34.615567,-58.367545,alto
PH,1.0,1.0,36.0,36.0,-34.5645073,-58.497852,alto
